"genus","species","sex","commonName","authority","trait_label","trait_value","trait_units","Trait error (+/- 1 se)","population","latitudePoint","longitudePoint","latitudeMin","latitudeMax","longitudeMin","longitudeMax","n in population","reference",
"Eupolyphaga"," sinensis","male","Chinese cockroach",,"Body_width",11.28,"mm",0.09,"Hubei,Luotian",30.47,,,,,,6,"10.1111/j.1570-7458.2012.01281.x","Hu2012"
"Eupolyphaga"," sinensis","male","Chinese cockroach",,"Body_width",11.02,"mm",0.16,"Hubei,Wuhan",30.35,,,,,,19,"10.1111/j.1570-7458.2012.01281.x","Hu2012"
"Eupolyphaga"," sinensis","male","Chinese cockroach",,"Body_width",11.22,"mm",0.13,"Hubei,Xiangfan",30.02,,,,,,14,"10.1111/j.1570-7458.2012.01281.x","Hu2012"
"Eupolyphaga"," sinensis","male","Chinese cockroach",,"Body_width",11.32,"mm",0.15,"Hunan,Pingjiang",29.71,,,,,,31,"10.1111/j.1570-7458.2012.01281.x","Hu2012"
"Eupolyphaga"," sinensis","male","Chinese cockroach",,"Body_width",11.4,"mm",0.18,"Zhejiang,Jinhua",29.07,,,,,,12,"10.1111/j.1570-7458.2012.01281.x","Hu2012"
"Eupolyphaga"," sinensis","male","Chinese cockroach",,"Body_width",11.65,"mm",0.06,"Zhejiang,Jinhua",28.9,,,,,,11,"10.1111/j.1570-7458.2012.01281.x","Hu2012"
,,,,,,,,,,,,,,,,,,
"Polyommatus","icarus","male","butterfly",,"wing_size",15.2,"mm",,,56,15,,,,,,"PMID:3127417",
"Polyommatus","icarus","male","butterfly",,"wing_size",15,"mm",,,57,15,,,,,,"PMID:3127417",
"Polyommatus","icarus","male","butterfly",,"wing_size",15.2,"mm",,,58,15,,,,,,"PMID:3127417",
"Polyommatus","icarus","male","butterfly",,"wing_size",15.1,"mm",,,59,15,,,,,,"PMID:3127417",
"Polyommatus","icarus","male","butterfly",,"wing_size",15.9,"mm",,,60,15,,,,,,"PMID:3127417",
"Polyommatus","icarus","male","butterfly",,"wing_size",16,"mm",,,61,15,,,,,,"PMID:3127417",
"Polyommatus","icarus","male","butterfly",,"wing_size",16.1,"mm",,,62,15,,,,,,"PMID:3127417",
"Polyommatus","icarus","male","butterfly",,"wing_size",15,"mm",,,63,15,,,,,,"PMID:3127417",
"Polyommatus","icarus","male","butterfly",,"wing_size",15,"mm",,,64,15,,,,,,"PMID:3127417",
"Polyommatus","icarus","male","butterfly",,"wing_size",16.3,"mm",,,65,15,,,,,,"PMID:3127417",
,,,,,,,,,,,,,,,,,"PMID:3127417",
